pKa,Particle size (mm),Acid concentration (M),Cu in feed (%),Temperature (°C),Leaching time (min),Pulp density (g/L),Agitation speed (rpm),% Cu Recovery
-3.0,0.1065,5.0,15.716666666666665,22.0,180.0,26.666666666666664,210.0,55.21
-3.0,0.1065,10.0,15.33,22.0,119.99999999999999,23.333333333333332,1020.0,65.38
-3.0,0.1065,15.0,13.832,22.0,180.0,40.0,590.0,86.54
-3.0,0.1065,20.0,10.968666666666666,22.0,239.99999999999997,40.0,176.66666666666666,88.92
-3.0,0.1065,25.0,14.663333333333332,22.0,239.99999999999997,40.0,360.0,96.98
-3.0,0.1065,30.0,14.663333333333332,22.0,119.99999999999999,40.0,360.0,97.03
-3.0,0.1065,5.0,28.12,22.0,119.99999999999999,53.33333333333333,273.3333333333333,45.2
-3.0,0.1065,10.0,15.33,22.0,119.99999999999999,26.666666666666664,210.0,57.61999999999999
-3.0,0.1065,15.0,20.220000000000002,22.0,180.0,40.0,1020.0,74.35
-3.0,0.1065,20.0,14.023333333333332,22.0,180.0,40.0,226.66666666666666,92.01
-3.0,0.1065,25.0,9.976666666666667,22.0,119.99999999999999,40.0,260.0,93.36
-3.0,0.1065,30.0,14.663333333333332,22.0,180.0,40.0,673.3333333333333,96.58
-3.0,0.1065,5.0,28.12,22.0,119.99999999999999,53.33333333333333,273.3333333333333,44.02
-3.0,0.1065,10.0,15.33,22.0,119.99999999999999,26.666666666666664,210.0,60.03
-3.0,0.1065,15.0,21.776666666666667,22.0,180.0,40.0,1020.0,75.02
-3.0,0.1065,20.0,18.44333333333333,22.0,180.0,40.0,1020.0,80.02
-3.0,0.1065,25.0,10.968666666666666,22.0,180.0,40.0,216.66666666666666,90.62
-3.0,0.1065,30.0,18.44333333333333,22.0,180.0,40.0,1020.0,85.3
-3.0,0.1065,5.0,28.12,22.0,180.0,53.33333333333333,143.33333333333334,41.25
-3.0,0.1065,10.0,15.33,22.0,119.99999999999999,26.666666666666664,210.0,59.050000000000004
-3.0,0.1065,15.0,21.776666666666667,22.0,180.0,40.0,1020.0,75.26
-3.0,0.1065,20.0,18.44333333333333,22.0,119.99999999999999,40.0,1020.0,81.02
-3.0,0.1065,25.0,10.968666666666666,22.0,180.0,40.0,216.66666666666666,91.02
-3.0,0.1065,30.0,10.968666666666666,22.0,180.0,40.0,216.66666666666666,90.85
-3.0,0.1065,5.0,17.46,22.0,119.99999999999999,53.33333333333333,143.33333333333334,36.98
-3.0,0.1065,10.0,15.33,22.0,119.99999999999999,26.666666666666664,210.0,55.02
-3.0,0.1065,15.0,15.33,22.0,180.0,40.0,1020.0,67.59
-3.0,0.1065,20.0,18.44333333333333,22.0,180.0,40.0,1020.0,79.25
-3.0,0.1065,25.0,18.44333333333333,22.0,180.0,40.0,1020.0,85.02
